highlight,title,author,note,location
"But the strength of belief would hinder us from attaining knowledge. Belief certainly may be something strong, but it is empty, and too little of the whole man can be involved, if our life with God is grounded only on belief. Should we simply believe first and foremost? That seems too cheap to me. Men who have understanding should not just believe, but should wrestle for knowledge to the best of their ability. Belief is not everything, but neither is knowledge. Belief does not give us the security and the wealth of knowing. Desiring knowledge sometimes takes away too much belief. Both must strike a balance. But it is also dangerous to believe too much, because today everyone has to find his own way and encounters in himself a beyond full of strange and mighty things. He could easily take everything literally with too much belief and would be nothing but a lunatic. The childishness of belief breaks down in the face of our present necessities. We need differentiating knowledge to clear up the confusion which the discovery of the soul has brought in. Therefore it is perhaps much better to await better knowledge before one accepts things all too believingly.14 From these considerations I spoke",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10133.0
"“No,” I replied. “No, that is not it. But I fear committing an injustice to men if I go my own way.” “What do you want to avoid?” she said; “there is no avoidance. You must go your way, unconcerned about others, no matter whether they are good or bad. You have laid your hand on the divine, which those have not.” I could not accept these words since I feared deception. Therefore",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10151.0
"“So it is hopeless,” I cried, “to resist solitude?” “It is utterly hopeless. You should be forced into your work.” As my soul spoke thus, an old man with a white beard and a haggard face approached me.16 I asked him what he wanted with",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10159.0
"am a nameless one, one of the many who lived and died in solitude. The spirit of the times and the acknowledged truth required this from us. Look at me—you must learn this. Things have been too good for",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10163.0
"18 I did not know what work was mine, since everything was dark. And everything became heavy and doubtful and an endless sadness seized me and lasted for many days. Then, one night, I heard the voice of an old man. He spoke slowly, heavily, and his sentences appeared to be disconnected and terribly absurd, so that the fear of madness seized me again.19 For he spoke the following words: 20“It is not yet the evening of days. The worst comes last. The hand that strikes first, strikes best. Nonsense streams from the deepest wells, amply like the Nile. Morning is more beautiful than night. Flowers smell until they fade. Ripeness comes as late as possible in spring, or else it misses its purpose.”",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10169.0
"In terms of the self, selfless love is a veritable sin.",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10248.0
For vices as well as virtues always want to live outside. But through constant outer life we forget the self and through this we also become secretly selfish in our best endeavors.32 What we neglect in ourselves blends itself secretly into our actions toward others.,The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10251.0
"“the effective and the ineffective, the fullness and the emptiness, the living and the dead, the different and the same, light and darkness, hot and cold, force and matter, time and space, good and evil, the beautiful and the ugly, the one and the many, etc.",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10729.0
"you teach that man is a gateway? A gateway through which the procession of the Gods passes? Through which the stream of life flows? Through which the entire future streams into the endlessness of the past?” ΦΙΛΗΜΩΝ answered, saying, “These dead believed in the transformation and development of man. They were convinced of human nothingness and transitoriness. Nothing was clearer to them than this, and yet they knew that man even creates its Gods, and so they knew that the Gods were of no use. Therefore they had to learn what they did not know, that man is a gateway through which crowds the train of the Gods and the coming and passing of all times. He does not do it, does not create it, does not suffer it, since he is the being, the sole being, since he is the moment of the world, the eternal moment. Whoever recognizes this stops being flame; he becomes smoke and ashes. He lasts and his transitoriness is over. He has become someone who is. You dreamed of the flame, as if it were life. But life is duration, the flame dies away. I carried that over, I saved it from the fire. That is the son of the fire flower. You saw that in me, I myself am of the eternal fire of light. But I am the one who saved it for you, the black and golden seed and its blue starlight. You eternal being—what is length and brevity? What is the moment and eternal duration? You, being, are eternal in each moment. What is time? Time is the fire that flares up, consumes, and dies down. I saved being from time, redeeming it from the fires of time and the darkness of time, from",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",11087.0
Let me tell you: it has only just begun.,The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10003.0
"The fact that drives us, from a 2002 Harvard study and our subsequent research, is that 87% of business issues are communication related. W",Behavioral Science Technology For Advisors,Institute for Innovation Development,"uploaded,uploaded,uploaded",1.0
"Why is it that bookstores seem to have endless rows replete with self-help books, yet no section on helping others? Adam Grant introduces this question in the foreword of one of my favorite new business books, Trillion Dollar Coach. It details the story of Bill Campbell, a Silicon Valley unicorn magnate.",The One Book Every Leader Should Read | Inc.com,inc.com,"uploaded,uploaded,uploaded",1.0
"""Why speakest thou to me of men, dear brother mine? I would fain ever be without a warrior's love. So fair will I remain until my death, that I shall never gain woe from love of man.""",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",526.0
"the dear child of them twain wished not to wear a crown, but fain would he become a lord against all the deeds of force within his lands, whereof the bold and daring knight was sore adread.",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",618.0
"Then smote Sir Siegfried, so that the whole field did ring. Through the hero's hand from out the helmets, as from firebrands, flew the bright red sparks. Each in the other found his match. Sir Liudegast, too,",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",844.0
"When he slew the dragon on the hill, the lusty warrior bathed him of a truth in the blood, so that since then no weapon ever cut him in the fray. Yet am I in fear, whenever",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1883.0
"Gunther and Hagen, the passing bold knights, faithlessly let cry a-hunting in the woods, that with sharp spears they would hunt boars and bears and bison. What might be braver? With them rode Siegfried in lordly guise;",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1907.0
"""Small thanks ye'll get for that. One should have brought me hither seven sumpter loads of mead and mulled wine. (8) If that might not be, then men should have placed our benches nearer to the Rhine.""",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1975.0
"and this the brave and lusty knight had well deserved. The king of the Burgundians bemoaned his death. Quoth the deadly wounded: ""There is no need that he should weep who hath done the damage; he doth merit mickle blame. It had been better left undone."" Then",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",2007.0
"Through presents she made her known to those who had never seen her. Full many among them spake to the guests: ""We weened that Lady Kriemhild had naught of goods, now hath she wrought many wonders with her gifts.""",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",2562.0
"Quoth Siegfried: ""Now hide thou my arts; tell them not to any man; then can the queen win from thee little fame, albeit she doth desire it. See how fearlessly the lady standeth now before thee."" Then",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1233.0
"Then spake the Queen: ""How hath it chanced that ye, Sir Siegfried, have seen naught of the games which the hand of Gunther here hath won?"" To this",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1257.0
"her great sorrow and her weeping were taken away. She bade the messenger be seated; full ready he was for this. Then spake the winsome maid: ""I should not rue it, should I give you as an envoy's meed my gold. For that ye are too rich, but I will be your friend in other ways."" ""And had I alone,"" spake he, ""thirty lands, yet would I gladly receive gifts from your fair hand."" Then",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1387.0
"The Lord Siegfried sate in loving wise by his fair wife, in bliss without alloy. With her snow-white hands she fondled his, till that he vanished from before her eyes, she wist not when. When now she no longer spied him, as she toyed, the queen spake to his followers: ""Much this wondereth me, whither the king be gone. Who hath taken his",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1534.0
"I'll have you to know fall well,"" spake the comely maid. In her arms she grasped the peerless knight; she weened to bind him, as she had done the king,",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1547.0
"To this Brunhild replied in full crafty wise: ""However high and mighty a king's vassal be, yet should he not leave undone whatsoever his lord command",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1633.0
"On a day before the vesper tide a great turmoil arose, which many knights made in the court, where they plied their knightly sports for pastime's sake, and a great throng of men and women hasted there to gaze. The royal queens had sat them down together and talked of two worshipful knights. Then spake the fair Kriemhild: ""I have a husband who by right should rule over all these kingdoms."" Quoth Lady Brunhild: ""How might that be? If none other lived but he and thou, then might these kingdoms own his sway, but the while Gunther liveth, this may never hap."" Kriemhild",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1761.0
"kings."" Then Kriemhild spake again: ""So doughty is my husband, that I have not lauded him without good cause. His worship is great in many things. Dost thou believe it, Brunhild, he is easily Gunther's peer.""",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1768.0
"Brunhild, that will surely cause me boundless grief."" Then the lusty knights and good gazed one upon the other. ""One should so train women,"" spake again Siegfried, the knight, ""that they leave haughty words unsaid. Forbid it to thy wife, and I'll do the same to mine. In truth, I do shame me of her great discourtesie."" Many fair ladies were parted by the speech. Brunhild mourned",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",1829.0
"This is a great marvel, which oft doth hap; whenever the blood-stained murderer is seen to stand by the dead, the latter's wounds do bleed, (1) as indeed happed here, whereby one saw the guilt was Hagen's. The wounds bled sore, as they had done at first. Much greater grew the weeping of those who wailed afore. Then spake King Gunther: ""I'd have you know that",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",2087.0
"hand."" Answered Hagen: ""Ye deceive us needlessly. How might it come to pass that we should all die there, through anybody's hate?"" Then gan they tell him the tale still more knowingly. The same one spake again: ""It must needs be that none of you shall live, save the king's chaplain; this we know full well. He will come again safe and sound to Gunther's land."" Then spake bold Hagen, fierce of mood: ""It were not well to tell my lords that we should",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",2827.0
"Forsooth his rage was great. Little booted Iring then his strength; through the shields they smote, so that the flames rose high in fiery blasts. Hagen sorely wounded Hawart's liegeman with his sword through shield and breastplate. Never waxed he well again. When now",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",3606.0
"merciful wise. Slay, if ye will, us homeless knights, but let us first descend to you into the open court. That will make to you for honor. Let be done quickly whatever shall hap to us. Ye have still many men unscathed, who dare well encounter us and bereave us storm-weary",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",3659.0
"""I will not grant you mercy, merciless is my mood. Hagen of Troneg hath done me such great wrongs that it may never be amended, the while I live. Ye must all suffer for this deed,"" so spake King Etzel's wife. ""And ye will give me Hagen alone as hostage, I will not deny that I will let you live, for ye be my brothers and children of one mother,",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",3668.0
"Quoth one of them within: ""We must all lie dead. What avail us now the greetings which the king did send us? Thirst from this great heat giveth me such dole, that soon, I ween, my life must ebb away in anguish."" Then spake Hagen of Troneg: ""Ye noble knights and good, let him whom pangs of thirst constrain, drink here this blood. In such great heat, 'tis better still than wine. We can purvey us at this time none better."" One",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",3682.0
"With willing hand Gunther, the champion, greeted the heroes of the Amelung land. Lord Giselher made many a gleaming helmet red and wot with blood. Dankwart, Hagen's brother, a fierce man was he; whatever he had done before to Etzel's warriors in strife was as a wind to the fury with which bold Aldrian's son now fought. Ritschart (6) and Gerbart, Helfrich and Wichart had spared themselves full seldom in many battle storms; this they now made Gunther's liegemen note full well. Wolfbrand, too, was seen in the strife bearing him in lordly wise. Old Hildebrand fought as though he raged. At Wolfhart's hands many good knights, struck by the sword, must needs fall dead down into the blood. Thus the bold champions and good avenged Knight Rudeger. Then Lord Siegstab fought as his prowess",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",3918.0
"unto death, he spake: ""Dear uncle mine, ye may not aid me now. 'Tis well, methinks, that ye should guard you against Hagen. A fierce mood",The Nibelungenlied,Anonymous and Daniel Bussier Shumway,"uploaded,uploaded,uploaded",3947.0
"What does it mean ""to kill the Self?"" How can the immortal Soul ever be destroyed? It cannot be destroyed, it can only be obscured. Those who hold themselves under the sway of ignorance, who serve the flesh and neglect the Atman or the real Self, are not able to perceive the effulgent and indestructible nature of their Soul; hence they fall into the realm where the Soul light does not shine. Here the Upanishad shows that the only hell is absence of knowledge. As long as man is overpowered by the darkness of ignorance, he is the slave of Nature and must accept",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",105.0
"They enter into blind darkness who worship Avidya (ignorance and delusion); they fall, as it were, into greater darkness who worship Vidya (knowledge). X By Vidya one end is attained; by Avidya, another.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",127.0
They fall into blind darkness who worship the Unmanifested and they fall into greater darkness who worship the manifested.,The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",135.0
"The special purpose of this Upanishad is to give us the knowledge of the Real, that we may not come under the dominion of the ego by identifying ourselves with our body, mind and senses. Mortals become mortals because they fall under the sway of ego and depend on their own limited physical and mental strength. The lesson of the parable of the Devas and Brahman is that there is no real power, no real doer except God. He is the eye of the eye, the ear of the ear; and eyes, ears, and all our faculties have no power independent of Him. When we thus realize Him as the underlying Reality of our being, we transcend death and become immortal.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",697.0
"may behold the Truth. Having perceived It, he proclaims: ""Now I see that that Effulgent Being and I are one and the same, and my delusion is destroyed.""",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",150.0
"He who sees all beings in his Self and his Self in all beings, he never suffers; because when he sees all creatures within his true Self, then jealousy, grief and hatred vanish. He alone can love. That AH-pervading One is self- effulgent, birthless,",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",164.0
"All things perish, Truth alone remains. Why then fear to sacrifice me also; Thus Nachiketas convinced his father that he should remain true to his word and send him to Yama, the Ruler of Death. Then Nachiketas went to the abode of Death, but Yama",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",208.0
"Fire is regarded as ""the foundation of all the worlds,"" because it is the revealer of creation. If there were no fire or light, no manifested form would be visible. We read in the Semitic Scriptures, ""In the beginning the Lord said, 'Let there be light.""' Therefore, that which stands in the external universe as one of",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",235.0
"spiritual realm; the other to the perishable physical realm. Both confront a man at every step of life. The discerning man distinguishing between the two, chooses the Real and Eternal, and he alone attains the highest, while the ignorant man, preferring that which brings him immediate and tangible results, misses the true purpose of his existence. Although Yama put before Nachiketas many temptations to test his sincerity and earnestness, he judging",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",269.0
"There are many in the world, who, puffed up with intellectual conceit, believe that they are capable of guiding others. But although they may possess a certain amount of worldly wisdom, they are devoid of deeper understanding; therefore all that they say merely increases doubt and confusion in the minds of those who hear them. Hence they are likened to blind men leading the blind.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",277.0
"realization? It means knowledge based on direct perception. In India often the best teachers have no learning, but their character is so shining that every one learns merely by coming in contact with them. In one of the Scriptures we read: Under a banyan tree sat a youthful teacher and beside him an aged disciple. The mind of the disciple was full of doubts",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",286.0
"I know that (earthly) treasure is transitory, for the eternal can never be attained by things which are non-eternal. Hence the Nachiketa fire (sacrifice) has been performed by me with perishable things and yet I have attained the eternal.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",300.0
The Scriptures give three stages in all spiritual attainment. The aspirant must first hear about the Truth from an enlightened teacher; next he must reflect upon what he,The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",311.0
"heard; then by constant practice of discrimination and meditation he realizes it; and with realization comes the fulfilment of every desire, because it unites him with the source of all. Having beheld this, a man learns that all sense pleasures are but fragmentary reflections of that one supreme joy, which can be found in the true Self alone. Yama assures Nachiketas that there is no doubt of his realizing the Truth, because he has shown the highest discrimination as well as fixity of purpose. XIV",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",313.0
"What name can man give to God? How can the Infinite be bound by any finite word? All that language can express must be finite, since it is itself finite. Yet it is very",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",319.0
It is because of the allembracing significance of this name that it is used so universally in the Vedic Scriptures to designate the Absolute.,The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",326.0
XVI This Word is indeed Brahman. This Word is indeed the Supreme. He who knows this Word obtains whatever he desires. XVII,The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",327.0
"XX The Self is subtler than the subtle, greater than the great; It dwells in the heart of each living being. He who is free from desire and free from grief, with mind and senses tranquil, beholds the glory of the Atman.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",333.0
"He who has not turned away from evil conduct, whose senses are uncontrolled, who is not tranquil, whose mind is not at rest, he can never attain this Atman even by knowledge. Yama having first described what the Atman is, now tells us how to attain It. A man must try to subdue his lower nature and gain control over the body and senses. He must conquer the impure selfish desires which now disturb the serenity of his mind, that it may grow calm and peaceful. In other words, he must live the life and develop all spiritual qualities in order to perceive the Atman.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",352.0
"III Know the Atman (Self) as the lord of the chariot, and the body as the chariot. Know also the intellect to be the driver and mind the reins. IV",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",371.0
"The senses are called the horses; the sense objects are the roads; when the Atman is united with body, senses and mind, then the wise call Him the enjoyer. In the third chapter Yama defines what part of our being dies and what part is deathless, what is mortal and what is immortal.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",373.0
"V He who is without discrimination and whose mind is always uncontrolled, his senses are unmanageable, like the vicious horses of a driver. VI But he who is full of discrimination and whose mind is always controlled, his senses are manageable, like the good horses of a driver. The man whose intellect is not discriminative and who fails to distinguish right from wrong, the real from the unreal, is carried away by his sense passions and desires, just as a driver is carried away by vicious horses over which he has lost control. But he who clearly distinguishes what is good from what is merely",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",381.0
"Beyond the great Atman is the Unmanifested; beyond the Unmanifested is the Purusha (the Cosmic Soul); beyond the Purusha there is nothing. That is the end, that is the final goal.",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",394.0
led Nachiketas to a point where he can reveal to him the secret of death. The boy had thought that there was a place where he could stay and become immortal. But Yama shows him that immortality is a state of consciousness and is not gained,The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",418.0
"of this inner Self or the God within. They have described It as beyond mind and speech; too subtle for ordinary perception, but not beyond the range of purified vision. XVI The intelligent man, who has heard and repeated the ancient story of Nachiketas, told by the Ruler of Death, is glorified in the world of Brahman. XVII He who with devotion recites this highest secret of immortality before an assembly of Brahmanas (pious men) or at the time of Shraddha (funeral ceremonies), gains everlasting reward, he gains everlasting reward. Part Fourth",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",422.0
"Fire is called all-seeing because its light makes everything visible. In Vedic sacrifices the altar fire was always kindled by rubbing together two sticks of a special kind of wood called Arani. Because fire was regarded as one of the most perfect symbols of Divine wisdom, it was to be worshipped by all seekers after Truth, whether they followed the path of meditation or the path of",The Upanishads,Maharishi Veda Vyasa and Swami Paramananda,"uploaded,uploaded,uploaded",449.0
